,title,link,summary,published,tags,category,credit,source,lemmatized_text,audio
303,"Developerovi za stovku za metr, místním za třikrát tolik. Za machinace s pozemky padlo obvinění",https://www.irozhlas.cz/zpravy-domov/krupka-pozemky-jablecny-sad-developer-trestni-rizeni_2106180500_onz,"<ul class=""text-md--m text-lg""><li>Policie obvinila dvanáct zastupitelů severočeské Krupky z toho, že příliš levně prodali pozemek na stavbu rodinných domů.
</li> <li>Plochu o rozloze 28 tisíc metrů čtverečních zastupitelé prodali za pouhých 100 korun za metr čtvereční developerské firmě. Ta přitom vznikla jen pár dní předtím, než projevila zájem o pozemek, a dva její majitelé měli trvalé bydliště hlášené na městském úřadě.
</li> <li>Zahrádky v těsném sousedství tohoto pozemku přitom radnice prodávala místním lidem za 250 až 320 korun za metr.</li> </ul>","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=18, tm_hour=3, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=169, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"developer za stovka za metr , místní za třikrát tolik . za machinace s pozemek padnout obvinění < ulice Glass = "" text - md - - metr text - lg "" > < li > policie obvinit dvanáct zastupitel severočeský krupka z ten , že příliš levně prodat pozemek na stavba rodinný dům . < / li > < li > plocha o rozloha 28 tisíc metr čtvereční zastupitel prodat za pouhý 100 koruna za metr čtvereční developerský firma . ten přitom vzniknout jen pár den předtím , než projevit zájem o pozemek , a dva jeho majitel mít trvalý bydliště hlášený na městský úřad . < / li > < li > Zahrádka v těsný sousedství tento pozemek přitom radnice prodávat místní člověk za 250 až 320 koruna za metr . < / li > < / ulice >",zmena_terminu_ockovani_deti_od_12_let_proti_covidu_muze_zacit_uz_od_pulky_cervence_rekl_vojtech.wav
304,"Konvalinka o kombinování vakcín: Mělo by to fungovat lépe, ale zatím to není ověřeno",https://www.irozhlas.cz/zpravy-domov/konvalinka-koronavirus-cesko-covid-19-vakcina-ockovani_2106180010_aur,"Ve Velké Británii dominuje delta mutace koronaviru, dříve označovaná jako indická. Třetina zemřelých s touto mutací za minulý měsíc přitom byla plně očkována. „Jsem ze situace v Británii trochu nervózní, ale je třeba vnímat celý kontext. Ano, je to tak, i očkovaní mohou zemřít. Ta čísla jsou ale na 70milionovou populaci extrémně nízká, šlo o 12 lidí,“ upozorňuje biochemik Jan Konvalinka.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=17, tm_hour=22, tm_min=10, tm_sec=0, tm_wday=3, tm_yday=168, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"Konvalinka o kombinování vakcína : mít být ten fungovat dobře , ale zatím ten být ověřit v velký Británie dominovat delta mutace koronavirus , brzy označovaný jako indický . třetina zemřelý s tento mutace za minulý měsíc přitom být plně očkovat . „ být z situace v Británie trochu nervózní , ale být třeba vnímat celý kontext . ano , být ten tak , i očkovaný moci zemřít . ten číslo být ale na 70 miliónový populace extrémně nízký , jít o 12 člověk , “ upozorňovat biochemik Jan Konvalinka .",je_to_jiny_klaus_nez_byval_svymi_nazory_se_vzdalil_vetsine_ceske_spolecnosti_rika_komentator.wav
328,Británie zaznamenala nejvíc případů koronaviru od února. Nakažení jsou především mladí nenaočkovaní,https://www.irozhlas.cz/zpravy-svet/koronavirus-covid-19-mutace-delta-ockovani-velka-britanie_2106172223_aur,"Nákaza koronavirem se ve Velké Británii za poslední den potvrdila u 11 007 lidí, což je nejvíce od 19. února, kdy nakažených za jediný den přibylo 12 027. Dalších 19 lidí po nemoci covid-19 v zemi se zhruba 67 miliony obyvatel v uplynulém dni zemřelo. Jde o nejvyšší denní počet úmrtí od 11. května. S odkazem na vládní data o tom informovala agentura Reuters.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=17, tm_hour=20, tm_min=23, tm_sec=0, tm_wday=3, tm_yday=168, tm_isdst=0)",[],Zprávy ze světa,,irozhlas.cz,"Británie zaznamenat hodně případ koronavirus od únor . nakažení být především mladý naočkovaný nákaza koronavirus se v velký Británie za poslední den potvrdit u 11 007 člověk , což být hodně od 19 . únor , kdy nakažený za jediný den přibýt 12 027 . další 19 člověk po nemoc covid - 19 v země se zhruba 67 milión obyvatel v uplynulý den zemřít . jít o vysoký denní počet úmrtí od 11 . květen . s odkaz na vládní data o ten informovat agentura reuters .",guterres_se_stal_generalnim_tajemnikem_osn_na_dalsi_petilete_obdobi_jsem_pocten_a_vdecny_za_duveru_rika.wav
344,Hokejisté Tampy porazili Islanders a ujali se vedení v sérii 2:1. Výhru jim vystřelil Point,https://www.irozhlas.cz/sport/hokej/tampa-bay-nhl-islanders_2106180702_pj,Hokejisté Tampy Bay vyhráli na ledě New York Islanders 1:2 a stejným poměrem vedou i v semifinálové sérii play-off NHL. Výhru obhájců Stanleyova poháru trefil na konci druhé třetiny Brayden Point.,"FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=18, tm_hour=5, tm_min=2, tm_sec=0, tm_wday=4, tm_yday=169, tm_isdst=0)",[],Sport,,irozhlas.cz,hokejista Tampa porazit Islanders a ujmout se vedení v série 2 : 1 . výhra on vystřelit point hokejista Tampa Bay vyhrát na led New York Islanders 1 : 2 a stejný poměr vést i v semifinálový série play-off NHL . výhra obhájce Stanleyův pohár trefit na konec druhý třetina Brayden point .,cesti_parahokejiste_na_uvod_domaciho_mistrovstvi_sveta_prohrali_v_ostrave_nestacili_na_jizni_koreu.wav
345,Nizozemci jsou dalším postupujícím do osmifinále. Rakousko porazili góly Depaye a Dumfriese 2:0,https://www.irozhlas.cz/sport/fotbal/nizozemsko-rakousko-euro-2020-fotbal_2106172318_jgr,"Fotbalisté Nizozemska porazili 2:0 Rakousko a stali se třetími jistými osmifinalisty evropského šampionátu. Skóre otevřel v 11. minutě z penalty útočník Memphis Depay, pojistku přidal v 67. minutě svým druhým gólem na turnaji Denzel Dumfries. „Oranjes“ si druhým vítězstvím na domácím stadionu v Amsterodamu zajistili před posledním kolem prvenství ve skupině C.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=17, tm_hour=21, tm_min=18, tm_sec=0, tm_wday=3, tm_yday=168, tm_isdst=0)",[],Sport,,irozhlas.cz,"Nizozemec být další postupující do osmifinále . Rakousko porazit gól Depay a Dumfries 2 : 0 fotbalista Nizozemsko porazit 2 : 0 Rakousko a stát se třetí jistý osmifinalista evropský šampionát . skóre otevřít v 11 . minuta z penalta útočník Memphis Depay , pojistka přidat v 67 . minuta svůj druhý gól na turnaj Denzel Dumfries . „ Oranjes “ se druhý vítězství na domácí stadión v Amsterodam zajistit před poslední kolo prvenství v skupina c .",salac_poprve_v_kariere_vyhral_kvalifikaci_moto3_v_sachsenringu_odstartuje_z_prvniho_mista.wav
346,"Ósakaová vynechá po Roland Garros i Wimbledon, vrátit se chce na olympijském turnaji v Tokiu",https://www.irozhlas.cz/sport/tenis/naomi-osakaova-wimbledon-olympijske-hry-tokio-french-open_2106172144_jgr,"Japonská tenistka Naomi Ósakaová podle svého agenta nebude hrát ani ve Wimbledonu. Světová dvojka si chce po odstoupení z Roland Garros, které zdůvodnila ochranou svého duševního zdraví, dopřát delší pauzu s rodinou a přáteli. Vrátit se hodlá před domácími fanoušky na olympijském turnaji v Tokiu.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=17, tm_hour=19, tm_min=44, tm_sec=0, tm_wday=3, tm_yday=168, tm_isdst=0)",[],Sport,,irozhlas.cz,"Ósakaová vynechat po Roland Garros i Wimbledon , vrátit se chtít na olympijský turnaj v Tokio japonský tenistka Naomi Ósakaová podle svůj agent být hrát ani v Wimbledon . světový dvojka se chtít po odstoupení z Roland Garros , který zdůvodnit ochrana svůj duševní zdraví , dopřát dlouhý pauza s rodina a přítel . vrátit se hodlat před domácí fanoušek na olympijský turnaj v Tokio .",mam_skakat_bez_pazi_jako_svicka_zlobil_se_lovren_kvuli_penalte_proti_cesku_zastaly_se_ho_i_legendy.wav
300,"Pro rezoluci o Babišovi jsem hlasoval se skřípěním zubů, říká Vondra. Vadí mu narážky na českou justici",https://www.irozhlas.cz/zpravy-domov/evropska-unie-parlament-alexandr-vondra-pavel-svoboda-rezoluce-brusel_2106172117_onz,"Evropský parlament před pár dny v právně nezávazné rezoluci odsoudil střet zájmů premiéra Andreje Babiše (ANO). Podle europoslance ODS Alexandra Vondry je logické, že unie kontroluje, jak je s penězi z jejích zdrojů nakládáno. Nelíbí se mu ale unijní zpochybňování českého soudního systému. „Proto mi u hlasování o Babišově rezoluci skřípaly zuby,“ tvrdí.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=17, tm_hour=19, tm_min=17, tm_sec=0, tm_wday=3, tm_yday=168, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"pro rezoluce o Babiš být hlasovat s skřípění zub , říkat Vondra . vadit on narážka na český justice evropský parlament před pár den v právně závazný rezoluce odsoudit střet zájem premiér Andrej Babiš ( ano ) . podle europoslanec ODS Alexandr Vondra být logický , že unie kontrolovat , jak být s peníze z jeho zdroj nakládat . líbit se on ale unijní zpochybňování český soudní systém . „ proto já u hlasování o Babišův rezoluce skřípat zub , “ tvrdit .",ctyrnasobny_prezident_ceske_lekarske_komory_kubek_obhajil_post_na_dalsich_pet_let.wav
0,"Nutrie jsou škodná a šíří nemoci. Navíc si lidé myslí, že krmí mláďátka, ale mohou to být potkani",https://www.lidovky.cz/domov/nutrie-jsou-skodna-a-siri-nemoci-navic-lide-si-mysli-ze-krmi-mladatka-ale-mohou-to-byt-potkani.A210616_095605_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Na českých náplavkách se objevily nové gangy. Macatější z jeho členů mají klidně k deseti kilům, tělo o velikosti batolete a ocas zvící až půlmetru. Rodina hlodavců zpravidla nepatří k těm, na něž by člověk pohlížel mazlivě, ale nutriím se podařilo tabu prolomit.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=19, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz,"nutrie být škodný a šíř nemoc . navíc se člověk myslit , že krmě mláďátko , ale moci ten být potkan na český náplavka se objevit nový gang . macatý z jeho člen mít klidně k deset kilo , tělo o velikost batole a ocas zvící až půlmetr . rodina hlodavec zpravidla patřit k ten , na jenž být člověk pohlížet mazlivě , ale nutrie se podařit tabu prolomit .",kubek_zustava_sefem_ceske_lekarske_komory_na_sjezdu_uspel_jiz_poctvrte.wav
2,"Informujte do konce června ředitele škol o plánu pro příští rok, vyzval Plagu opoziční Anticovid tým",https://www.lidovky.cz/domov/informujte-do-konce-cervna-reditele-skol-o-planu-pro-pristi-rok-vyzval-plagu-opozicni-anticovid-tym.A210616_105050_ln_domov_lijk#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Opoziční Anticovid tým vyzval ministerstvo školství, aby nejpozději do 30. června ředitele škol informovalo o plánu pro příští školní rok. Resort by měl připravit několik variant dalšího postupu vzhledem k možné koronavirové situaci, řekl na středeční tiskové konferenci ve Sněmovně poslanec KDU-ČSL Marek Výborný. Vnést jasno by mělo také ministerstvo zdravotnictví do testování na letních táborech, uvedl místopředseda ODS Martin Kupka.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=4, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz,"informovat do konec červen ředitel škola o plán pro příští rok , vyzvat Plaga opoziční Anticovid tým opoziční Anticovid tým vyzvat ministerstvo školství , aby pozdě do 30 . červen ředitel škola informovat o plán pro příští školní rok . resort být mít připravit několik varianta další postup vzhledem k možný koronavirový situace , říci na středeční tiskový konference v sněmovna poslanec KDU-ČSL Marek Výborný . vnést jasno být mít také ministerstvo zdravotnictví do testování na letní tábor , uvést místopředseda ODS Martin Kupka .",cesi_prijizdejici_ze_zahranici_by_meli_vyplnit_formular_doporucuje_smejkalova_skupina_meses.wav
3,Jak budou letos učitelé hodnotit žáky? Většina známek z distanční výuky není příliš vypovídající,https://www.lidovky.cz/domov/jak-budou-letos-ucitele-hodnotit-zaky-vetsina-znamek-z-distancni-vyuky-neni-prilis-vypovidajici.A210615_110937_ln_domov_ape#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Až na pár posledních týdnů se velká část dětí v tomto pololetí učila od Vánoc z domova. Učitelé tak nyní znovu řeší, co jim napsat na vysvědčení. Mají své žáky hodnotit za to, jestli zvládnou napsat bez chyby diktát na vyjmenovaná slova, nebo za snahu a vytrvalost, i když v diktátu se chyba sem tam objeví? Jak si udělat pravdivý obrázek o tom, co všechno zvládly, a jak zařídit, aby klasifikace byla spravedlivá?","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz,"jak být letos učitel hodnotit žák ? většina známka z distanční výuka být příliš vypovídající až na pár poslední týden se velký část dítě v tento pololetí učit od Vánoce z domov . učitel tak nyní znovu řešit , co on napsat na vysvědčení . mít svůj žák hodnotit za ten , jestli zvládnout napsat bez chyba diktát na vyjmenovaný slovo , nebo za snaha a vytrvalost , i když v diktát se chyba sem tam objevit ? jak se udělat pravdivý obrázek o ten , co všechen zvládnout , a jak zařídit , aby klasifikace být spravedlivý ?",cesko_zazilo_pekelny_den_rekord_padl_na_40_mistech_vlna_veder_ale_nekonci_v_nedeli_ma_byt_jeste_tepleji.wav
4,"‚Dvě dávky vakcíny by měly stačit.‘ Prymula popisuje nástroje, jak bojovat s nakažlivou mutací delta",https://www.lidovky.cz/domov/davky-by-se-mely-opet-priblizit-nejen-kvuli-boji-s-mutacemi-mysli-si-prymula.A210615_210303_ln_domov_ceh#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,Podle epidemiologa Romana Prymuly lze s mutací delta bojovat očkováním nebo se vrátit k restrikcím obyvatelstva.,"FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=9, tm_min=13, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz,"‚ dva dávka vakcína být mít stačit . ‘ Prymula popisovat nástroj , jak bojovat s nakažlivý mutace delta podle epidemiolog Roman Prymula lze s mutace delta bojovat očkování nebo se vrátit k restrikce obyvatelstvo .",armadni_vozidlo_najelo_v_mali_na_vybusninu_vsichni_cesti_vojaci_jsou_v_poradku.wav
